attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
accepted_name,Botanical species name according to accepted_name_url,NA,botanical species name,NA,NA,character,NA,NA
growth_form,GIFT trait 1.2.2 received with the GIFT package,NA,NA,NA,NA,factor,herb / graminoid / forb /subshurb / shrub / tree,"Weigelt, P., König, C. & Kreft, H. (2020) GIFT – A Global Inventory of Floras and Traits for macroecology and biogeography. Journal of Biogeography, https://doi.org/10.1111/jbi.13623."
plant_height,GIFT trait 1.6.3 received with the GIFT package,NA,NA,meter,real,numeric,NA,"Weigelt, P., König, C. & Kreft, H. (2020) GIFT – A Global Inventory of Floras and Traits for macroecology and biogeography. Journal of Biogeography, https://doi.org/10.1111/jbi.13623."
seed_mass,GIFT trait 3.2.3 received with the GIFT package,NA,NA,gram,real,numeric,NA,"Weigelt, P., König, C. & Kreft, H. (2020) GIFT – A Global Inventory of Floras and Traits for macroecology and biogeography. Journal of Biogeography, https://doi.org/10.1111/jbi.13623."
sla,GIFT trait 4.1.3 received with the GIFT package,NA,NA,squareCentimeterPerGram,real,numeric,NA,"Weigelt, P., König, C. & Kreft, H. (2020) GIFT – A Global Inventory of Floras and Traits for macroecology and biogeography. Journal of Biogeography, https://doi.org/10.1111/jbi.13623."
taxonomic_status,The status of the species name according to accepted_name_url,NA,NA,NA,NA,factor,Accepted / Synonym / Illegitimate,NA
accepted_family,The family of the species according to accepted_name_url,NA,The family of the species according to accepted_name_url,NA,NA,character,NA,NA
R1A,Characteristic species of the EUNIS habitat type R1A semi-dry perennial calcareous grassland (meadow steppe),NA,NA,NA,NA,factor,1 = yes / 0 = no,Chytrý et al. (2020) Appl Veg Sci https://doi.org/10.1111/avsc.12519
R22,Characteristic species of the EUNIS habitat type R22 Low and medium altitude hay meadow,NA,NA,NA,NA,factor,1 = yes / 0 = no,Chytrý et al. (2020) Appl Veg Sci https://doi.org/10.1111/avsc.12519
both,Characteristic species of both habitat types R1A and R22,NA,NA,NA,NA,factor,1 = yes / 0 = no,NA
accepted_name_url,Familiy of the species according to TNRS,NA,NA,NA,NA,character,NA,"Boyle, B., Hopkins, N., Lu, Z., Garay, J. A. R., Mozzherin, D., Rees, T., Matasci, N., Narro, M. L., Piel, W. H., McKay, S. J., Lowry, S., Freeland, C., Peet, R. K., & Enquist, B. J. (2013). The taxonomic name resolution service: an online tool for automated standardization of plant names. BMC Bioinformatics, 14(1), 16. https://doi.org/10.1186/1471-2105-14-16"
status,Native species or neophyte,NA,NA,NA,NA,factor,I = native species / N = neobiota,NA
redlist_germany,Red list Germany (BfN 2018),NA,NA,NA,NA,factor,* = not threatened / V = warning list / 3 = vulnerable / 2 = endangered / 1 = critically endangered,BfN (Bundesamt fuer Naturschutz) (2018) Rote Liste gefaehrdeter Tiere Pflanzen und Pilze Deutschlands. Band 7: Pflanzen. ISBN 978-3-7843-5612-9
