accepted_name,growth_form,plant_height,seed_mass,sla,taxonomic_status,accepted_family,R1A,R22,both,accepted_name_url,status,redlist_germany
Centaurea montana,forb,0.375,0.0155825,365,Synonym,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191037-1,I,*
Centaurea scabiosa,forb,0.675,0.007324238,192.03,Accepted,Asteraceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191521-1,I,*
Centaurea triumfettii,herb,0.3,0.009733334,NA,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:191816-1,I,1
Cerastium arvense,NA,0.169,0.004497167,214.38,Accepted,Caryophyllaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:329786-2,I,*
Cerastium fontanum,NA,NA,NA,NA,Accepted,Caryophyllaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:152255-1,I,*
Chamaecytisus ratisbonensis,subshrub,0.35,0.005875,NA,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:485981-1,I,3
Clinopodium vulgare,NA,0.375,3.77E-04,236,Accepted,Lamiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:61206-2,I,*
Convolvulus arvensis,forb,0.2815,0.013561286,287.35,Accepted,Convolvulaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:265849-1,I,*
Coronilla vaginalis,herb,0.065,0.002762834,176.2,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487277-1,I,3
Coronilla varia,NA,0.442,0.004251667,303.07,Synonym,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:487281-1,I,*
Crataegus monogyna,tree,5.661666667,0.090117461,113.36,Accepted,Rosaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:723820-1,I,*
Cynanchica pyrenaica subsp. cynanchica,NA,0.269,8.48E-04,280.6,Synonym,Rubiaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215417-1,I,V
