attributeName,attributeDefinition,formatString,definition,unit,numberType,type,factor,comment
accepted_name,botanical species name related to the name ID in the file data_raw_traits,NA,botanical species name related to the name ID in the file data_raw_traits,NA,NA,character,NA,NA
X2021tum15,abundance of species in the plot X2021tum15 after Braun-Blanquet (1964) refined by Londo (1976),NA,NA,percent,real,numeric,NA,Braun-Blanquet J (1964) Pflanzensoziologie: Grundzuege der Vegetationskunde (3rd ed.). Wien-New York: Springer (Original work published 1928) / Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61-64. http://dx.doi.org/10.1007/BF00055300
etc. ,abundance of species in the plot X2021tum15 after Braun-Blanquet (1964) refined by Londo (1976),NA,NA,percent,real,numeric,NA,Braun-Blanquet J (1964) Pflanzensoziologie: Grundzuege der Vegetationskunde (3rd ed.). Wien-New York: Springer (Original work published 1928) / Londo G (1976) The decimal scale for releves of permanent quadrats. Vegetatio 33: 61-64. http://dx.doi.org/10.1007/BF00055300
