"";"accepted_name";"taxonomic_status";"accepted_family";"R1A";"R22";"both"
"92";"Inula acuminata";"Illegitimate";"Asteraceae";0;0;0
"93";"Jacobaea vulgaris";"Accepted";"Asteraceae";0;0;0
"94";"Knautia arvensis";"Accepted";"Caprifoliaceae";1;1;1
"95";"Koeleria macrantha";"Accepted";"Poaceae";1;0;0
"96";"Koeleria pyramidata";"Accepted";"Poaceae";1;0;0
"97";"Lathyrus tuberosus";"Accepted";"Fabaceae";0;0;0
"98";"Legousia speculum-veneris";"Accepted";"Campanulaceae";0;0;0
"99";"Leontodon hispidus";"Accepted";"Asteraceae";1;1;1
"100";"Leontodon incanus";"Accepted";"Asteraceae";0;0;0
"101";"Leucanthemum vulgare";"Accepted";"Asteraceae";1;1;1
"102";"Linum catharticum";"Accepted";"Linaceae";1;0;0
"103";"Linum catharticum var. subalpinum";"Synonym";"Linaceae";0;0;0
"104";"Linum perenne";"Accepted";"Linaceae";0;0;0
"105";"Lotus corniculatus";"Synonym";"Fabaceae";1;1;1
"106";"Lotus corniculatus subsp. corniculatus";"Synonym";"Fabaceae";0;0;0
"107";"Lotus dorycnium";"Synonym";"Fabaceae";0;0;0
"108";"Lotus germanicus";"Synonym";"Fabaceae";0;0;0
"109";"Medicago falcata";"Accepted";"Fabaceae";1;0;0
"110";"Medicago lupulina";"Accepted";"Fabaceae";1;1;1
"111";"Myosotis arvensis";"Accepted";"Boraginaceae";0;0;0
"112";"Ophrys apifera";"Accepted";"Orchidaceae";0;0;0
"113";"Origanum vulgare";"Accepted";"Lamiaceae";1;0;0
"114";"Orobanche gracilis";"Accepted";"Orobanchaceae";0;0;0
"115";"Papaver rhoeas";"Accepted";"Papaveraceae";0;0;0
"116";"Pentanema britannica";"Illegitimate";"Asteraceae";0;0;0
"117";"Peucedanum oreoselinum";"Accepted";"Apiaceae";0;0;0
"118";"Phleum phleoides";"Accepted";"Poaceae";1;0;0
"119";"Picris hieracioides";"Accepted";"Asteraceae";0;0;0
"120";"Pilosella officinarum";"Accepted";"Asteraceae";1;0;0
"121";"Pimpinella saxifraga";"Accepted";"Apiaceae";1;1;1
"122";"Plantago lanceolata";"Accepted";"Plantaginaceae";1;1;1
"123";"Plantago media";"Accepted";"Plantaginaceae";1;1;1
"124";"Platanthera bifolia";"Accepted";"Orchidaceae";0;0;0
"125";"Poa angustifolia";"Accepted";"Poaceae";0;0;0
"126";"Poa annua";"Accepted";"Poaceae";0;0;0
