ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
11,Asperula cynanchica,1,280675,Asperula cynanchica,1,species,,,NA,L.,Rubiaceae,Asperula,Asperula,1,cynanchica,cynanchica,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:743955-1,,Y,Synonym,Cynanchica pyrenaica subsp. cynanchica,Cynanchica pyrenaica,(L.) P.Caputo & Del Guacchio,1456370,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77215417-1,,Rubiaceae,1,1,wcvp,0,
12,Avenula pubescens,1,844441,Avenula pubescens,1,species,,,NA,(Huds.) Dumort.,Poaceae,Avenula,Avenula,1,pubescens,pubescens,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392028-1,,Y,Accepted,Avenula pubescens,Avenula pubescens,(Huds.) Dumort.,844441,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:392028-1,,Poaceae,1,1,wcvp,0,
13,Bellis perennis,1,71884,Bellis perennis,1,species,,,NA,L.,Asteraceae,Bellis,Bellis,1,perennis,perennis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184409-1,,Y,Accepted,Bellis perennis,Bellis perennis,L.,71884,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:184409-1,,Asteraceae,1,1,wcvp,0,
14,Brachypodium pinnatum,1,846244,Brachypodium pinnatum,1,species,,,NA,(L.) P.Beauv.,Poaceae,Brachypodium,Brachypodium,1,pinnatum,pinnatum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393166-1,,Y,Accepted,Brachypodium pinnatum,Brachypodium pinnatum,(L.) P.Beauv.,846244,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393166-1,,Poaceae,1,1,wcvp,0,
15,Briza media,1,846484,Briza media,1,species,,,NA,L.,Poaceae,Briza,Briza,1,media,media,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393294-1,,Y,Accepted,Briza media,Briza media,L.,846484,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393294-1,,Poaceae,1,1,wcvp,0,
16,Bromopsis erecta,1,846708,Bromopsis erecta,1,species,,,NA,(Huds.) Fourr.,Poaceae,Bromopsis,Bromopsis,1,erecta,erecta,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:393422-1,,Y,Synonym,Bromus erectus,Bromus erectus,Huds.,847221,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30195095-2,,Poaceae,1,1,wcvp,0,
17,Bromus hordeaceus,1,847419,Bromus hordeaceus,1,species,,,NA,L.,Poaceae,Bromus,Bromus,1,hordeaceus,hordeaceus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30016331-2,,Y,Accepted,Bromus hordeaceus,Bromus hordeaceus,L.,847419,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30016331-2,,Poaceae,1,1,wcvp,0,
18,Campanula patula aggr.,0.9,819842,Campanula patula,1,species,,,NA,L.,Campanulaceae,Campanula,Campanula,1,patula,patula,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:140798-1,,Y,Accepted,Campanula patula,Campanula patula,L.,819842,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:140798-1,,Campanulaceae,1,1,wcvp,0,
19,Campanula rotundifolia,1,820328,Campanula rotundifolia,1,species,,,NA,L.,Campanulaceae,Campanula,Campanula,1,rotundifolia,rotundifolia,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30036649-2,,Y,Accepted,Campanula rotundifolia,Campanula rotundifolia,L.,820328,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30036649-2,,Campanulaceae,1,1,wcvp,0,
20,Cardamine pratensis,1,580475,Cardamine pratensis,1,species,,,NA,L.,Brassicaceae,Cardamine,Cardamine,1,pratensis,pratensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45334-2,,Y,Accepted,Cardamine pratensis,Cardamine pratensis,L.,580475,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:45334-2,,Brassicaceae,1,1,wcvp,0,
21,Carex caryophyllea,1,340254,Carex caryophyllea,1,species,,,NA,Latourr.,Cyperaceae,Carex,Carex,1,caryophyllea,caryophyllea,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324492-2,,Y,Accepted,Carex caryophyllea,Carex caryophyllea,Latourr.,340254,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324492-2,,Cyperaceae,1,1,wcvp,0,
22,Carex flacca,1,341544,Carex flacca,1,species,,,NA,Schreb.,Cyperaceae,Carex,Carex,1,flacca,flacca,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299756-1,,Y,Accepted,Carex flacca,Carex flacca,Schreb.,341544,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:299756-1,,Cyperaceae,1,1,wcvp,0,
23,Carex humilis,1,342477,Carex humilis,1,species,,,NA,Leyss.,Cyperaceae,Carex,Carex,1,humilis,humilis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300229-1,,Y,Accepted,Carex humilis,Carex humilis,Leyss.,342477,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:300229-1,,Cyperaceae,1,1,wcvp,0,
