ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
2210,Juncus acutiflorus Hoffm.,0.9185,767649,Juncus acutiflorus,1,species,Hoffm.,Ehrh. ex Hoffm.,0.5925,Ehrh. ex Hoffm.,Juncaceae,Juncus,Juncus,1,acutiflorus,acutiflorus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:133720-3,,Y,Accepted,Juncus acutiflorus,Juncus acutiflorus,Ehrh. ex Hoffm.,767649,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:133720-3,,Juncaceae,1,1,wcvp,0,
2211,Juncus acutiflorus subsp. acutiflorus,1,767650,Juncus acutiflorus subsp. acutiflorus,1,subspecies,,,NA,,Juncaceae,Juncus,Juncus,1,acutiflorus,acutiflorus,1,,,NA,subsp.,acutiflorus,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171651-1,,Y,Accepted,Juncus acutiflorus subsp. acutiflorus,Juncus acutiflorus,,767650,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171651-1,,Juncaceae,1,1,wcvp,0,
2212,Juncus alpinoarticulatus Chaix,1,767716,Juncus alpinoarticulatus,1,species,Chaix,Chaix,1,Chaix,Juncaceae,Juncus,Juncus,1,alpinoarticulatus,alpinoarticulatus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177309-1,,Y,Accepted,Juncus alpinoarticulatus,Juncus alpinoarticulatus,Chaix,767716,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77177309-1,,Juncaceae,1,1,wcvp,0,
2213,Juncus alpinoarticulatus subsp. alpinoarticulatus,1,767718,Juncus alpinoarticulatus subsp. alpinoarticulatus,1,subspecies,,,NA,,Juncaceae,Juncus,Juncus,1,alpinoarticulatus,alpinoarticulatus,1,,,NA,subsp.,alpinoarticulatus,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171456-1,,Y,Accepted,Juncus alpinoarticulatus subsp. alpinoarticulatus,Juncus alpinoarticulatus,,767718,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77171456-1,,Juncaceae,1,1,wcvp,0,
2214,Juncus anceps Laharpe,1,767769,Juncus anceps,1,species,Laharpe,Laharpe,1,Laharpe,Juncaceae,Juncus,Juncus,1,anceps,anceps,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442669-1,,Y,Accepted,Juncus anceps,Juncus anceps,Laharpe,767769,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442669-1,,Juncaceae,1,1,wcvp,0,
2215,Juncus articulatus L.,1,767822,Juncus articulatus,1,species,L.,L.,1,L.,Juncaceae,Juncus,Juncus,1,articulatus,articulatus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442698-1,,Y,Accepted,Juncus articulatus,Juncus articulatus,L.,767822,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442698-1,,Juncaceae,1,1,wcvp,0,
2216,Juncus articulatus subsp. articulatus,1,1054111,Juncus articulatus subsp. articulatus,1,subspecies,,,NA,,Juncaceae,Juncus,Juncus,1,articulatus,articulatus,1,,,NA,subsp.,articulatus,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172317-1,,Y,Accepted,Juncus articulatus subsp. articulatus,Juncus articulatus,,1054111,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77172317-1,,Juncaceae,1,1,wcvp,0,
2217,Juncus atratus Krock.,1,767860,Juncus atratus,1,species,Krock.,Krock.,1,Krock.,Juncaceae,Juncus,Juncus,1,atratus,atratus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442706-1,,Y,Accepted,Juncus atratus,Juncus atratus,Krock.,767860,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:442706-1,,Juncaceae,1,1,wcvp,0,
2218,Juncus balticus Willd.,1,767877,Juncus balticus,1,species,Willd.,Willd.,1,Willd.,Juncaceae,Juncus,Juncus,1,balticus,balticus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324783-2,,Y,Accepted,Juncus balticus,Juncus balticus,Willd.,767877,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:324783-2,,Juncaceae,1,1,wcvp,0,
2219,Juncus balticus subsp. balticus,1,767880,Juncus balticus subsp. balticus,1,subspecies,,,NA,,Juncaceae,Juncus,Juncus,1,balticus,balticus,1,,,NA,subsp.,balticus,1,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77169063-1,,Y,Accepted,Juncus balticus subsp. balticus,Juncus balticus,,767880,subspecies,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77169063-1,,Juncaceae,1,1,wcvp,0,
2220,Juncus bufonius agg.,0.9,767971,Juncus bufonius,1,species,,,NA,L.,Juncaceae,Juncus,Juncus,1,bufonius,bufonius,1,,,NA,,,NA,,,NA,,agg.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30079279-2,,Y,Accepted,Juncus bufonius,Juncus bufonius,L.,767971,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30079279-2,,Juncaceae,1,1,wcvp,0,
2221,Juncus bufonius L.,1,767971,Juncus bufonius,1,species,L.,L.,1,L.,Juncaceae,Juncus,Juncus,1,bufonius,bufonius,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30079279-2,,Y,Accepted,Juncus bufonius,Juncus bufonius,L.,767971,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30079279-2,,Juncaceae,1,1,wcvp,0,
