name,res29,res30,res11,res06,res04,res10,res18,res36,res34,res39,res37,res33,res15,res17,res16,res02,res01,res03,res20,res21,res19,res12,res13,res14,res65,res83,res81,res67,res76,res82,res79,res75,res70,res66,res35,res22,res23,res24,res25,res26,res27,res28,res84,res85,res86,res87,res88,res89,res90,res46,res53,res50,res41,res45,res44,res43,res40,res42,res47,res48,res49,res52,res51,res57,res63,res61,res62,res64,res60,res54,res55,res56,res58,res59,res05,res09,res08,res38,res31,res32,res07,res77,res71,res68,res74,res73,res80,res69,res78,res72
Carex montana,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex muricata agg.,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centaurea jacea,,,0.5,,,0.5,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,0.5,,,0.5,0.5,,0.5,0.5,2,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,
Centaurea scabiosa,,,4,4,2,4,,0.5,,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,,,,0.5,0.5,,2,4,,4,4,2,,2,0.5,2,0.5,,0.5,,,0.5,,,,2,,,0.5,,4,,2,2,,2,,,,,2,,,4,,2,,0.5,,,,,0.5,0.5,0.5,0.5,4,0.5,2,,,,4,,4,2,0.5,,,0.5,4,4
Centaurea triumfettii,,,,,,,,,,,,,,,0.5,0.5,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerastium fontanum agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
Clinopodium vulgare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,0.5,2,0.5,,,,,,
Convolvulus arvensis,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,0.5,,,0.5,,,0.5,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,0.5,,,,,,,,0.5,2,,
Coronilla vaginalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,
Crataegus monogyna agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cytisus nigricans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Cytisus ratisbonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylis glomerata agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,,,0.5,,,,,2,,0.5,,,,,0.5,
Daucus carota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,0.5,,,,,,
Deschampsia cespitosa agg.,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dianthus carthusianorum agg.,0.5,0.5,0.5,,,,,,,0.5,0.5,0.1,,,,,,,,,,,,,2,,,0.5,2,,4,0.5,2,,,,,,,0.5,0.5,,,,0.5,,,,0.5,,0.5,0.5,,0.5,,,,0.5,,0.5,2,,,,0.5,,,,,,,,,,,0.5,,,,,,0.5,0.5,2,0.5,0.5,2,4,2,0.5
Dorycnium pentaphyllum agg.,,,,,,,,,,,,,,,,2,0.5,4,,,0.5,,0.5,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,0.5,2,2,,2,2,10,,,,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,
Epilobium parviflorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erigeron annuus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia verrucosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphrasia officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,,,0.5,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
Euphrasia officinalis var. curta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festuca arundinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Festuca rubra agg.,10,0.5,2,4,10,0.5,0.5,38,10,20,20,20,0.5,,0.5,,,,,,,,0.5,0.5,4,20,10,10,4,10,4,10,10,10,10,10,20,10,10,4,20,10,20,20,20,10,20,0.5,10,,2,10,,0.5,0.5,0.5,,4,0.5,,10,38,38,0.5,4,2,20,10,0.5,0.5,0.5,2,0.5,0.5,4,2,4,10,4,10,4,10,10,4,20,38,20,20,10,20
Filipendula vulgaris,,0.5,0.5,2,10,2,,,0.5,0.5,0.5,0.5,,,,,,,,,,0.5,,,4,0.5,0.5,0.5,10,0.5,4,2,2,4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,,2,2,4,0.5,,2,0.5,,,,,,,,,0.5,,0.5,,4,,2,0.5,,,,,,,10,2,2,0.5,0.5,,2,0.5,0.5,4,0.5,,10,10,10,0.5
Fragaria viridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,2,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraxinus excelsior,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium boreale agg.,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium mollugo agg.,0.5,2,0.5,0.5,0.5,2,,,0.5,0.5,,,0.5,0.5,,,,,0.5,,,,,,0.5,4,0.5,2,2,2,0.5,2,2,2,0.5,2,0.5,,2,0.5,0.5,0.5,2,0.5,2,0.5,2,10,4,,0.5,0.5,,,,,,,,,0.5,0.5,0.5,,20,,10,10,,,,,,,2,4,0.5,2,2,2,0.5,10,4,2,4,4,4,4,4,10
Galium pusillum agg.,,,,,,,,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium verrucosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galium verum agg.,,,,0.5,0.5,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,2,,,,0.5,4,2,,0.5,,,,0.5,,,0.5,,,2,0.5,0.5,0.5,,,0.5,,0.5,,,,,,,,,,,2,,,0.5,,0.1,,,,,2,,0.5,,,,0.5,,0.5,0.5,2,0.5,2,0.5,,0.5
Genista tinctoria,4,4,,0.5,,,2,2,2,10,2,0.5,4,0.5,4,2,4,2,0.5,4,4,0.5,4,2,,,,,,,2,,0.5,,0.5,,,0.5,,,0.5,,0.5,,,,,,,0.5,0.5,2,0.5,,,,,4,0.5,2,20,0.5,0.5,,0.5,,0.5,,0.5,,0.5,,0.5,,10,,2,0.5,0.5,2,0.5,,2,,,,,,,
Globularia bisnagarica,,,,,,,0.5,,,,,,,0.5,0.5,2,0.5,0.5,0.5,0.5,2,2,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,0.5,2,2,4,2,0.5,,,,0.5,,0.5,,,0.5,0.5,0.5,0.5,2,,,,,,,,,,,,,,,,,
Globularia cordifolia agg.,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helianthemum nummularium agg.,,,,,,,4,,0.5,0.5,,,4,2,,4,10,20,10,10,2,2,10,4,,,,,,,,,0.5,,,,,,0.5,0.5,,,,,,,,,,0.5,,,0.5,4,2,,0.5,10,4,,,10,38,4,,10,,0.5,4,2,4,2,4,4,,,,,,,4,,,,,,,,,0.5
Helictotrichon pratense,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,0.5,,,,,,,,,,,,
Helictotrichon pubescens,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hieracium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
Hippocrepis comosa,,,,,,,0.5,,,,,,0.5,,,0.5,0.5,0.5,,,,0.5,4,,,,,,,,,,,,,0.5,,0.5,,,0.5,0.5,,,,,0.5,,,0.5,,,0.5,,0.5,,,,,,,,,0.5,0.5,0.5,,4,0.5,0.5,0.5,,0.5,0.5,,0.5,0.5,2,,0.5,,0.5,,,0.5,,0.5,,,
Hypericum perfoliatum,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
