name,res29,res30,res11,res06,res04,res10,res18,res36,res34,res39,res37,res33,res15,res17,res16,res02,res01,res03,res20,res21,res19,res12,res13,res14,res65,res83,res81,res67,res76,res82,res79,res75,res70,res66,res35,res22,res23,res24,res25,res26,res27,res28,res84,res85,res86,res87,res88,res89,res90,res46,res53,res50,res41,res45,res44,res43,res40,res42,res47,res48,res49,res52,res51,res57,res63,res61,res62,res64,res60,res54,res55,res56,res58,res59,res05,res09,res08,res38,res31,res32,res07,res77,res71,res68,res74,res73,res80,res69,res78,res72
Populus tremula,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potentilla cinerea,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Potentilla verna agg.,,,,,,,0.5,,,,,,,,0.5,,,,0.5,,0.1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primula veris,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,4,2,,,,0.5,,,,,,,,0.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,,0.5,0.5,2,0.5
Prunella grandiflora,2,,,,,,,,0.5,,,,,,0.5,2,,2,,,0.5,,,,0.5,,,0.5,2,,2,2,,0.5,0.5,2,,2,0.5,2,0.5,2,0.5,,0.5,,,,,,,,,,,,,2,0.5,0.5,2,,,0.5,,0.5,,,0.5,,,,,,0.5,,0.5,,,,2,,,,0.5,2,2,,0.5,0.5
Prunus spinosa agg.,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulicaria vulgaris,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pulsatilla patens,,,,,,,0.5,,,,,,0.5,0.5,4,,,0.5,2,10,0.5,2,,0.5,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,2,,,0.5,0.5,,,,0.5,,4,,,,0.5,,0.5,,,0.5,,0.5,,0.5,0.5,,,,0.5,,,,,,,,,,,,
Pulsatilla vulgaris agg.,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
Ranunculus bulbosus agg.,,,,,0.5,0.5,,,,,,,,,,,,,,0.1,,,,,0.5,,,,0.5,,0.1,,,,,,,,,,,,0.1,,0.5,,0.5,0.5,0.5,,,,,,,,,,,,0.5,0.5,,,0.5,,,0.1,,,,,,,0.5,,0.5,,,,,,,,,,2,,,0.5
Rhinanthus glacialis,,,10,,,10,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,,0.5,,,0.5,,,4,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,,0.5,2,4,,,,0.5,,,,0.5,,,0.5,,,,0.5,,,,,,10,4,4,4,4,,,0.5,0.5
Rhinanthus minor,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,,,,,,,,,,,,,0.5,,0.5,,0.5,,,,0.5,,,,,,,,0.5,,2,,,,,,0.5,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,4,0.5
Rubus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubus caesius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,
Rumex acetosa,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salix eleagnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
Salvia pratensis agg.,,,,,0.5,0.5,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,0.5,,0.5,,,,,,0.5,0.5,2,0.5,,,,,,,0.5,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,0.5,,,,0.5,,,,,
Salvia verticillata,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
Sanguisorba minor,,,,0.1,0.5,,,,,,,,,,,0.5,0.5,,0.5,0.5,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,4,,,,,,,,,,,,,,2,0.5,0.5,,2,0.5,,,,,,,,,,
Scabiosa canescens,,,2,,,2,0.5,2,2,2,2,2,0.5,2,4,,0.5,0.5,0.5,0.5,2,0.5,,,,0.5,2,,10,0.5,,,2,,2,,,,,,,,0.5,0.5,2,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,2,4,0.5,4,,,,,,0.5,,,0.5,,,,0.5,0.5,,4,,2,,,,,,,,,,,,
Scabiosa columbaria agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Securigera varia,2,2,2,0.5,10,4,,4,2,0.5,2,2,,,,,,,,,,,,,,10,38,2,4,4,4,2,10,2,2,0.5,0.5,2,2,0.5,0.5,2,0.5,2,10,10,2,10,10,,0.5,4,,,,,,,,,4,,2,,0.5,,,,,,,,,,10,4,2,4,2,4,2,4,2,4,2,0.5,4,2,4,2
Sedum acre,,,,,,,,,,,,,,,0.5,,,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Seseli annuum agg.,,,,,,,0.5,,,,,,0.5,,0.5,,0.5,0.5,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,
Sesleria varia agg.,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene nutans agg.,,0.5,,0.5,2,0.5,4,4,,0.5,4,4,0.5,0.5,0.5,,0.5,,0.5,,,0.5,2,0.5,,,,0.5,0.5,0.5,4,0.5,10,,,,,,,2,,,,,,,,,0.5,,,2,,2,0.5,2,0.5,0.5,,0.5,4,,,0.5,,2,,,,0.5,2,4,2,2,,4,2,0.5,0.5,,2,,,,,,2,,0.5,
Silene vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanacetum corymbosum agg.,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Taraxacum,,,,,2,0.5,,,,,,0.5,,,,,,,,0.5,,,,,,,,0.5,0.5,,0.5,,0.5,,,,,0.1,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.5,0.5,,,,,4,,0.5,,,2,,0.5,
Teucrium montanum,,,,,,,2,,,,,,2,2,,2,0.5,10,0.5,0.5,2,4,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,2,0.5,2,,4,10,,,,10,,4,,,2,4,2,4,2,2,,,,,,,,,,,,,,,,
Thesium pyrenaicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,
Thymus praecox agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,0.5,,,,,,,,,,,,,,,,
Thymus pulegioides agg.,,,,,,,2,,,,,,2,2,2,0.5,2,0.5,2,0.5,2,0.5,2,4,,,,0.1,,,,,2,,,0.5,,,,,0.5,0.5,,,0.5,,0.5,,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,2,2,2,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,,0.5
Trifolium campestre,0.5,,0.5,,,,,,,,0.5,,,,,,,,,,,,,,0.5,2,2,,0.5,2,0.5,,0.5,0.5,,0.5,,,,0.5,,0.5,,,,0.5,,,,,,,,,,,,,,,0.5,,,,0.5,,2,,,,,,,,,,,,,,,2,2,20,0.5,0.5,,2,0.5,0.5
Trifolium dubium agg.,,,,,,,,0.1,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifolium montanum,0.5,,,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.1,0.5,,,,0.5,,,0.5,0.5,,,,,0.5,,,,,,,,,,,,,2,,,,,,,,0.5,
Trifolium pratense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,2,,,,,0.5,
Trifolium repens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,0.1,0.5,0.5,,,,,,,,,
Trisetum flavescens agg.,,0.5,0.5,0.5,2,,,0.5,,,,,,,,,,,,,,,,,,,0.5,,0.5,,0.5,,2,,,,,0.5,,0.5,0.5,,0.5,,,,,2,,,,,,,,,,,,,0.5,2,2,,0.5,,0.5,,,,,,,,2,,0.5,,0.5,0.5,0.5,,2,0.5,,,,4,,
Verbascum nigrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica arvensis,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,
Veronica austriaca agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,
Veronica chamaedrys agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,0.5,,,,,,,,,,,0.5,0.5,0.5,,0.5,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,0.5
Veronica spicata,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia hirsuta,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicia sativa agg.,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,,,0.5,0.5,,,0.5,,,,,,,,,0.1,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,0.5,,0.5,,,,,,,,0.5,,0.5,,,
Vincetoxicum hirundinaria agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,
Viola arvensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
